Komoditas,TGl,Harga
Bawang Merah,16/08/20,34535.5
Bawang Merah,17/08/20,30375.0
Bawang Merah,18/08/20,31362.0
Bawang Merah,19/08/20,31107.0
Bawang Merah,20/08/20,30529.0
Bawang Merah,21/08/20,34535.5
Bawang Merah,22/08/20,34535.5
Bawang Merah,23/08/20,34535.5
Bawang Merah,24/08/20,30352.0
Bawang Merah,25/08/20,29988.0
Bawang Merah,26/08/20,29913.0
Bawang Merah,27/08/20,29886.0
Bawang Merah,28/08/20,29505.0
Bawang Merah,29/08/20,34535.5
Bawang Merah,30/08/20,34535.5
Bawang Merah,31/08/20,29606.0
Bawang Merah,01/09/20,29568.0
Bawang Merah,02/09/20,29451.0
Bawang Merah,03/09/20,29507.0
Bawang Merah,04/09/20,29946.0
Bawang Merah,05/09/20,30000.0
Bawang Merah,06/09/20,42500.0
Bawang Merah,07/09/20,30122.0
Bawang Merah,08/09/20,29533.0
Bawang Merah,09/09/20,29407.0
Bawang Merah,10/09/20,29288.0
Bawang Merah,11/09/20,29288.0
Bawang Merah,12/09/20,34535.5
Bawang Merah,13/09/20,34535.5
Bawang Merah,14/09/20,29562.0
Bawang Merah,15/09/20,29479.0
Bawang Merah,16/09/20,29621.0
Bawang Merah,17/09/20,29737.0
Bawang Merah,18/09/20,29786.0
Bawang Merah,19/09/20,34535.5
Bawang Merah,20/09/20,34535.5
Bawang Merah,21/09/20,29598.0
Bawang Merah,22/09/20,29599.0
Bawang Merah,23/09/20,29386.0
Bawang Merah,24/09/20,29067.0
Bawang Merah,25/09/20,29153.0
Bawang Merah,26/09/20,28000.0
Bawang Merah,27/09/20,37950.0
Bawang Merah,28/09/20,29030.0
Bawang Merah,29/09/20,29160.0
Bawang Merah,30/09/20,29087.0
Bawang Merah,01/10/20,29074.0
Bawang Merah,02/10/20,29060.0
Bawang Merah,03/10/20,30000.0
Bawang Merah,04/10/20,30000.0
Bawang Merah,05/10/20,29761.0
Bawang Merah,06/10/20,29632.0
Bawang Merah,07/10/20,30290.0
Bawang Merah,08/10/20,30476.0
Bawang Merah,09/10/20,30919.0
Bawang Merah,10/10/20,29000.0
Bawang Merah,11/10/20,34535.5
Bawang Merah,12/10/20,31809.0
Bawang Merah,13/10/20,32423.0
Bawang Merah,14/10/20,32487.0
Bawang Merah,15/10/20,32607.0
Bawang Merah,16/10/20,32878.0
Bawang Merah,17/10/20,34535.5
Bawang Merah,18/10/20,34535.5
Bawang Merah,19/10/20,33974.0
Bawang Merah,20/10/20,33848.0
Bawang Merah,21/10/20,34729.0
Bawang Merah,22/10/20,34044.0
Bawang Merah,23/10/20,33940.0
Bawang Merah,24/10/20,40000.0
Bawang Merah,25/10/20,40000.0
Bawang Merah,26/10/20,34282.0
Bawang Merah,27/10/20,34311.0
Bawang Merah,28/10/20,37750.0
Bawang Merah,29/10/20,34535.5
Bawang Merah,30/10/20,32776.0
Bawang Merah,31/10/20,39500.0
Bawang Merah,01/11/20,39500.0
Bawang Merah,02/11/20,34681.0
Bawang Merah,03/11/20,34827.0
Bawang Merah,04/11/20,34906.0
Bawang Merah,05/11/20,35233.0
Bawang Merah,06/11/20,35439.0
Bawang Merah,07/11/20,40000.0
Bawang Merah,09/11/20,36054.0
Bawang Merah,10/11/20,36694.0
Bawang Merah,11/11/20,36653.0
Bawang Merah,12/11/20,36603.0
Bawang Merah,13/11/20,36450.0
Bawang Merah,14/11/20,34535.5
Bawang Merah,15/11/20,34535.5
Bawang Merah,16/11/20,36786.0
Bawang Merah,17/11/20,36912.0
Bawang Merah,18/11/20,36906.0
Bawang Merah,19/11/20,36936.0
Bawang Merah,20/11/20,36793.0
Bawang Merah,21/11/20,41000.0
Bawang Merah,22/11/20,40500.0
Bawang Merah,23/11/20,36767.0
Bawang Merah,24/11/20,36569.0
Bawang Merah,25/11/20,36353.0
Bawang Merah,26/11/20,36525.0
Bawang Merah,27/11/20,36406.0
Bawang Merah,28/11/20,35000.0
Bawang Merah,29/11/20,35000.0
Bawang Merah,30/11/20,36371.0
